Unnamed_0,MANDT,SPRAS,KTOPL,Unnamed_4,Unnamed_5,SAKNR,Unnamed_7,TXT20,Unnamed_9,TXT50,Unnamed_11,Unnamed_12,Unnamed_13,MCOD1
,800,1,4000,,,1001010000,,库存现金-人民币,,库存现金-人民币,,,,库存现金-人民币
,800,1,4000,,,1001020000,,库存现金-美元,,库存现金-美元,,,,库存现金-美元
,800,1,4000,,,1001030000,,库存现金-欧元,,库存现金-欧元,,,,库存现金-欧元
,800,1,4000,,,1001040000,,库存现金-港币,,库存现金-港币,,,,库存现金-港币
,800,1,4000,,,1002010101,,银行存款-人民币-中国银行-基本户,,银行存款-人民币-中国银行-基本户,,,,银行存款-人民币-中国银行-基本户
,800,1,4000,,,1002010110,,银行存款-人民币-中国银行-一般户1,,银行存款-人民币-中国银行-一般户1,,,,银行存款-人民币-中国银行-一般户1
,800,1,4000,,,1002010111,,银行存款-人民币-中国银行-一般户2,,银行存款-人民币-中国银行-一般户2,,,,银行存款-人民币-中国银行-一般户2
,800,1,4000,,,1002010120,,银行存款-人民币-中国银行-专用户1,,银行存款-人民币-中国银行-专用户1,,,,银行存款-人民币-中国银行-专用户1
,800,1,4000,,,1002010121,,银行存款-人民币-中国银行-专用户2,,银行存款-人民币-中国银行-专用户2,,,,银行存款-人民币-中国银行-专用户2
,800,1,4000,,,1002010201,,银行存款-人民币-农业银行-基本户,,银行存款-人民币-农业银行-基本户,,,,银行存款-人民币-农业银行-基本户
,800,1,4000,,,1002010202,,银行存款-人民币-农业银行-基本户1,,银行存款-人民币-农业银行-基本户1,,,,银行存款-人民币-农业银行-基本户1
,800,1,4000,,,1002010203,,银行存款-人民币-农业银行-保证金户,,银行存款-人民币-农业银行-保证金户,,,,银行存款-人民币-农业银行-保证金户
,800,1,4000,,,1002010210,,银行存款-人民币-农业银行-一般户1,,银行存款-人民币-农业银行-一般户1,,,,银行存款-人民币-农业银行-一般户1
,800,1,4000,,,1002010211,,银行存款-人民币-农业银行-一般户2,,银行存款-人民币-农业银行-一般户2,,,,银行存款-人民币-农业银行-一般户2
,800,1,4000,,,1002010212,,银行存款-人民币-农业银行-一般户3,,银行存款-人民币-农业银行-一般户3,,,,银行存款-人民币-农业银行-一般户3
,800,1,4000,,,1002010213,,银行存款-人民币-农业银行-一般户4,,银行存款-人民币-农业银行-一般户4,,,,银行存款-人民币-农业银行-一般户4
,800,1,4000,,,1002010214,,银行存款-人民币-农业银行-一般户5,,银行存款-人民币-农业银行-一般户5,,,,银行存款-人民币-农业银行-一般户5
,800,1,4000,,,1002010215,,银行存款-人民币-农业银行-一般户6,,银行存款-人民币-农业银行-一般户6,,,,银行存款-人民币-农业银行-一般户6
,800,1,4000,,,1002010220,,银行存款-人民币-农业银行-专用户1,,银行存款-人民币-农业银行-专用户1,,,,银行存款-人民币-农业银行-专用户1
,800,1,4000,,,1002010221,,银行存款-人民币-农业银行-专用户2,,银行存款-人民币-农业银行-专用户2,,,,银行存款-人民币-农业银行-专用户2
,800,1,4000,,,1002010222,,银行存款-人民币-农业银行-专用户3,,银行存款-人民币-农业银行-专用户3,,,,银行存款-人民币-农业银行-专用户3
,800,1,4000,,,1002010240,,银行存款-人民币-农业银行-资金归集账户,,银行存款-人民币-农业银行-资金池归集账户,,,,银行存款-人民币-农业银行-资金池归集账户
,800,1,4000,,,1002010251,,银行存款-人民币-农业银行-临时户,,银行存款-人民币-农业银行-临时户,,,,银行存款-人民币-农业银行-临时户
,800,1,4000,,,1002010260,,银行存款-人民币-农业银行-定期存款户1,,银行存款-人民币-农业银行-定期存款户1,,,,银行存款-人民币-农业银行-定期存款户1
,800,1,4000,,,1002010301,,银行存款-人民币-建设银行-基本户,,银行存款-人民币-建设银行-基本户,,,,银行存款-人民币-建设银行-基本户
,800,1,4000,,,1002010310,,银行存款-人民币-建设银行-一般户1,,银行存款-人民币-建设银行-一般户1,,,,银行存款-人民币-建设银行-一般户1
,800,1,4000,,,1002010311,,银行存款-人民币-建设银行-一般户2,,银行存款-人民币-建设银行-一般户2,,,,银行存款-人民币-建设银行-一般户2
,800,1,4000,,,1002010312,,银行存款-人民币-建设银行-一般户3,,银行存款-人民币-建设银行-一般户3,,,,银行存款-人民币-建设银行-一般户3
